NAME_BOT,NAME_DE,FAMILY,NB_MIN_HEIGHT_CM,NB_MAX_HEIGHT_CM,NB_CONVIVIALITY,CAT_CONVIVIALITY,NB_MIN_PLANTS_IN_GROUP,NB_MAX_PLANTS_IN_GROUP,PLANTING_DISTANCE_CM,PLANTS_PER_M2,CAT_MIN_NEED_LIGHT,CAT_MAX_NEED_LIGHT,NB_MIN_NEED_LIGHT,NB_MAX_NEED_LIGHT,CAT_MIN_TIME_BLOSSOM,NB_MIN_TIME_BLOSSOM,CAT_MAX_TIME_BLOSSOM,NB_MAX_TIME_BLOSSOM,CAT_WINTERHARDY,NB_WINTERHARDY,NB_TOXIC,CAT_TOXIC,IS_FRAGRANT,IS_SUITABLE_CUT,IS_STERILE,IS_WINTERGREEN,IS_NATIVE,IS_FOR_INSECTS,IS_FOR_BEES,IS_FOR_BUMBLEBEES,IS_FOR_BUTTERFLIES,PRIMARY_COLOR_EN,PRIMARY_COLOR_DE,COLOR_LIST,AVG_HEIGHT_CM,AVG_NEED_LIGHT
Echinops bannaticus 'Taplow Blue',Kugeldistel,Asteraceae,80,120,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,blue,blau,blau,100,4
Epilobium angustifolium 'Album',Weißes Weidenröschen,Onagraceae,80,120,2,small group,3,10,50,4,mostly shady,very sunny,2,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,white,weiß, weiß,100,3
Eryngium yuccifolium,Palmlilien-Mannstreu,Apiaceae,50,120,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy given some support,1,0,not toxic,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,white,weiß,grün|weiß,85,4
Galega orientalis,Kaukasische Geißraute,Fabaceae,80,120,1,alone - very small group,1,3,70,2,mostly shady,very sunny,2,4,July,7,August,8,winterhardy,2,1,toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,pink,rosa,violett|blau,100,3
Heliopsis helianthoides var. scabra 'Prairie Sunset',Einfaches Sonnenauge,Asteraceae,100,120,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,yellow,gelb,gelb|rot,110,4
Hemerocallis fulva,"Braunrote Taglilie, Bahnwärter-Taglilie",Hemerocallidaceae,80,120,2,small group,3,10,70,2,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,orange,braun|orange|rot,100,3
Lilium martagon,Türkenbund-Lilie,Liliaceae,80,120,2,small group,3,10,25,16,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa|violett,100,3
Lythrum salicaria,Blut-Weiderich,Lythraceae,100,120,2,small group,3,10,50,4,mostly shady,very sunny,2,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,purple,violett,rosa,110,3
Molinia caerulea 'Edith Dudszus',Moor-Pfeifengras,Poaceae,40,120,2,small group,3,10,40,6,mostly shady,very sunny,2,4,August,8,October,10,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,green,grün,schwarz|braun,80,3
Oenothera glazioviana,Rotkelchige Nachtkerze,Onagraceae,50,120,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,June,6,September,9,winterhardy,2,0,not toxic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,yellow,gelb,gelb,85,4
Peucedanum palustre,Sumpf-Haarstrang,Apiaceae,70,120,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,white,weiß,weiß,95,3
Phlox paniculata 'Miss Pepper',Hoher Sommer-Phlox,Polemoniaceae,100,120,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa|rot,110,3
Phlox paniculata 'Werner Dittrich',Sommer-Phlox,Polemoniaceae,120,120,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,violett,120,3
Salvia sclarea,Muskateller-Salbei,Lamiaceae,80,120,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,white,weiß,rosa|violett,100,4
Sanguisorba Hybride 'Northern Lights',Weißer Wiesenknopf,Rosaceae,80,120,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,white,weiß,weiß,100,3
Solidago rugosa 'Fireworks',Goldrute,Asteraceae,100,120,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,August,8,October,10,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,yellow,gelb,gelb,110,4
Symphytum x uplandicum 'Bocking No.14',"Comfrey, Futter-Beinwell",Boraginaceae,60,120,2,small group,3,10,50,4,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,1,toxic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,white,weiß,violett,90,3
Tanacetum corymbosum,Strauß-Margerite,Asteraceae,80,120,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,June,6,July,7,winterhardy given some support,1,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,yellow,gelb,weiß|gelb,100,3
Thalictrum aquilegiifolium,Akeleiblättrige Wiesenraute,Ranunculaceae,100,120,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,white,weiß,violett|rosa,110,3
Valeriana officinalis 'Bullerian' ,Echter Baldrian,Valerianaceae,70,120,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,June,6,August,8,winterhardy given some support,1,0,not toxic,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,white,weiß,rosa,95,4
Verbascum nigrum,Dunkle Königskerze,Scrophulariaceae,100,120,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,black,schwarz,gelb,110,4
Verbena hastata 'Blue Spires',Lanzen-Eisenkraut,Verbenaceae,80,120,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,blue,blau,rot|violett,100,4
Verbena hastata 'Pink Spires',Rosa Lanzen-Eisenkraut,Verbenaceae,80,120,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa,100,4
Verbena hastata 'White Spires',Weißes Lanzen-Eisenkraut,Verbenaceae,80,120,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,white,weiß,weiß,100,4
Veronicastrum virginicum 'Erika',Kandelaber-Ehrenpreis,Scrophulariaceae,100,120,1,alone - very small group,1,3,70,2,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pink,rosa,rosa,110,3
Aster novi-belgii 'Rosenquarz',Glattblatt-Aster,Asteraceae,90,110,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,September,9,October,10,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa,100,4
Peucedanum rablense,"Kärnter Haarstrang, Raibler-Haarstrang",Apiaceae,50,110,2,small group,3,10,80,1,very sunny,very sunny,4,4,July,7,September,9,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,white,weiß,weiß,80,4
Sanguisorba officinalis,Großer Wiesenknopf,Rosaceae,60,110,2,small group,3,10,50,4,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,white,weiß,rot,85,3
Acanthus hungaricus,Balkan-Bärenklau,Acanthaceae,60,100,2,small group,3,10,70,2,mostly shady,very sunny,2,4,July,7,August,8,winterhardy given some support,1,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,white,weiß,rosa|weiß,80,3
Acorus calamus,Kalmus,Acoraceae,80,100,2,small group,3,10,50,4,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,1,toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,yellow,gelb,braun,90,3
Agastache rugosa,Koreaminze,Lamiaceae,80,100,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,July,7,September,9,winterhardy given some support,1,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,purple,violett,violett,90,4
Allium sphaerocephalon,Kugel-Lauch,Alliaceae,70,100,2,small group,3,10,25,16,very sunny,very sunny,4,4,July,7,July,7,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,red,rot,violett,85,4
Armoracia rusticana,"Meerrettich, Kren",Brassicaceae,60,100,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,June,6,July,7,winterhardy,2,0,not toxic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,white,weiß, weiß,80,4
Astilbe Thunbergii-Hybride 'Straußenfeder',Hohe Prachtspiere,Saxifragaceae,80,100,2,small group,3,10,50,4,mostly shady,very sunny,2,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,white,weiß,rosa|violett,90,3
Butomus umbellatus,"Blumenbinse, Schwanenblume",Butomaceae,70,100,2,small group,3,10,40,6,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,pink,rosa,rosa,85,4
Calamagrostis varia,Berg-Reitgras,Poaceae,80,100,2,small group,3,10,60,2,mostly shady,very sunny,2,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,grün,gelb|grün,90,3
Campanula latifolia var. macrantha,Wald-Glockenblume,Campanulaceae,90,100,2,small group,3,10,50,4,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,blau,violett,95,3
Campanula trachelium,Nessel-Glockenblume,Campanulaceae,80,100,1,alone - very small group,1,3,35,8,mostly shady,very sunny,2,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,blue,blau,violett|blau,90,3
Caryopteris x clandonensis 'Ferndown',Bartblume,Verbenaceae,80,100,1,alone - very small group,1,3,80,1,very sunny,very sunny,4,4,July,7,October,10,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,blue,blau,blau,90,4
Caryopteris x clandonensis 'Kew Blue',Bartblume,Verbenaceae,80,100,1,alone - very small group,1,3,80,1,very sunny,very sunny,4,4,July,7,October,10,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,blue,blau,blau,90,4
Cenolophium denudatum,"Baltische Petersilie, Hohlrippe",Apiaceae,80,100,2,small group,3,10,50,4,mostly sunny,very sunny,3,4,June,6,July,7,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,white,weiß,weiß,90,4
Dahlia 'Bishop of Llandaff ',Paeonienblütige Dahlie,Asteraceae,90,100,2,small group,3,10,40,60,very sunny,very sunny,4,4,July,7,October,10,not winterhardy,0,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,red,rot,rot,95,4
Darmera peltata,Schildblatt,Saxifragaceae,50,100,1,alone - very small group,1,3,70,2,mostly shady,very sunny,2,4,April,4,May,5,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,white,weiß,rosa,75,3
Daucus carota,Wilde Möhre,Apiaceae,50,100,2,small group,3,10,50,80,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,white,weiß,weiß,75,4
Deschampsia cespitosa 'Bronzeschleier',Wald-Schmiele,Poaceae,60,100,2,small group,3,10,40,6,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,green,grün,braun,80,3
Deschampsia cespitosa 'Goldschleier',Wald-Schmiele,Poaceae,60,100,2,small group,3,10,40,6,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,green,grün,gelb,80,3
Dictamnus albus,"Diptam, Brennender Busch",Rutaceae,80,100,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,June,6,July,7,winterhardy,2,1,toxic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,pink,rosa,rosa,90,4
Digitalis lutea,Gelber Fingerhut,Scrophulariaceae,60,100,2,small group,3,10,35,8,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,3,extremely toxic,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,yellow,gelb,gelb,80,3
Digitalis purpurea ,Purpur-Fingerhut,Scrophulariaceae,80,100,2,small group,3,10,40,6,mostly shady,very sunny,2,4,June,6,July,7,winterhardy,2,3,extremely toxic,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,pink,rosa,rot,90,3
Echinacea purpurea,"Purpur-Sonnenhut, Igelkopf",Asteraceae,80,100,2,small group,3,10,35,8,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,pink,rosa,rosa|violett,90,4
Echinacea purpurea 'Alba',Weißer Sonnenhut,Asteraceae,80,100,2,small group,3,10,35,8,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,white,weiß,weiß,90,4
Echinacea purpurea 'Magnus Superior',Roter Sonnenhut,Asteraceae,80,100,2,small group,3,10,35,8,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa|violett,90,4
Echinops bannaticus 'Star Frost',Weiße Kugeldistel,Asteraceae,80,100,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,blue,blau,weiß,90,4
Echinops niveus 'Arctic Glow',Weiße Kugeldistel,Asteraceae,80,100,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,white,weiß,weiß,90,4
Echinops ritro,Kugeldistel,Asteraceae,80,100,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,blue,blau,blau,90,4
Epilobium dodonaei,Rosmarin-Weidenröschen,Onagraceae,30,100,2,small group,3,10,40,6,mostly shady,very sunny,2,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa,65,3
Eryngium planum,Kleiner Mannstreu,Apiaceae,40,100,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,blue,blau,blau,70,4
Geranium psilostemon,Armenischer Storchschnabel,Geraniaceae,80,100,2,small group,3,10,50,4,mostly shady,very sunny,2,4,June,6,July,7,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pink,rosa,rot,90,3
Helenium Hybride 'Waltraut',Sonnenbraut,Asteraceae,80,100,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,red,rot,orange,90,4
Iris pseudacorus,Gelbe Sumpf-Schwertlilie,Iridaceae,60,100,2,small group,3,10,60,2,very sunny,very sunny,4,4,May,5,July,7,winterhardy,2,1,toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,yellow,gelb,gelb,80,4
Iris sibirica,Wiesen-Iris,Iridaceae,60,100,2,small group,3,10,50,4,very sunny,very sunny,4,4,May,5,June,6,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,blue,blau,violett|blau,80,4
Kalimeris mongolica 'Antonia',Blaue Schönaster,Asteraceae,80,100,2,small group,3,10,50,4,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,blue,blau,violett|blau,90,3
Knautia arvensis,Wiesen-Witwenblume,Dipsacaceae,30,100,2,small group,3,10,50,4,very sunny,very sunny,4,4,May,5,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,pink,rosa,violett|blau,65,4
Knautia macedonica,Purpur-Witwenblume,Dipsacaceae,60,100,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,red,rot,rot,80,4
Leonurus cardiaca,"Herzgespann, Löwenschweif",Lamiaceae,100,100,1,alone - very small group,1,3,60,2,mostly shady,very sunny,2,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,pink,rosa,rosa|rot,100,3
Leymus arenarius,"Blaustrandhafer, Dünengras",Poaceae,60,100,3,bigger groups,10,20,70,2,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,green,grün,gelb,80,4
Malva sylvestris,Wilde Malve,Malvaceae,50,100,2,small group,3,10,60,2,very sunny,very sunny,4,4,May,5,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,pink,rosa,violett,75,4
Malva sylvestris var. mauritiana,Dunkle Weg-Malve,Malvaceae,50,100,2,small group,3,10,60,2,very sunny,very sunny,4,4,June,6,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,violett,75,4
Mentha species 'Hollandia',Riesen-Apfel-Minze,Lamiaceae,50,100,1,alone - very small group,1,3,40,6,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,white,weiß,violett,75,4
Myrrhis odorata,Süßdolde,Apiaceae,80,100,2,small group,3,10,50,4,mostly shady,very sunny,2,4,May,5,June,6,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,white,weiß,weiß,90,3
Papaver orientale 'Beauty of Livermere',Türkischer Mohn,Papaveraceae,100,100,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,May,5,June,6,winterhardy,2,1,toxic,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,red,rot,rot,100,4
Patrinia scabiosifolia,Hoher Goldbaldrian,Valerianaceae,60,100,2,small group,3,10,60,2,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,gelb,gelb,80,4
Peucedanum cervaria,"Hirsch-Haarstrang, Hirschwurz",Apiaceae,60,100,1,alone - very small group,1,3,90,1,mostly sunny,very sunny,3,4,July,7,October,10,winterhardy given some support,1,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,white,weiß,weiß,80,4
Phlomis russeliana,Brandkraut,Lamiaceae,60,100,2,small group,3,10,50,4,very sunny,very sunny,4,4,June,6,July,7,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,yellow,gelb,gelb,80,4
Phlox paniculata 'Anne',Hoher Sommer-Phlox,Polemoniaceae,100,100,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,July,7,August,8,winterhardy,2,0,not toxic,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,weiß|rosa,100,3
Phlox paniculata 'Argus',Hoher Sommer-Phlox,Polemoniaceae,80,100,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,August,8,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa|rot,90,3
Phlox paniculata 'Shemeneto',Sommer-Phlox,Polemoniaceae,80,100,1,alone - very small group,1,3,60,2,mostly shady,very sunny,2,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,violett|rot,90,3
Phlox paniculata 'Wildfang',Sommer-Phlox,Polemoniaceae,100,100,1,alone - very small group,1,3,50,4,mostly shady,very sunny,2,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pink,rosa,rosa|rot,100,3
Rosa multiflora nana,Wild-Rose,Rosaceae,60,100,1,alone - very small group,1,3,80,1,mostly shady,very sunny,2,4,June,6,October,10,winterhardy,2,0,not toxic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pink,rosa,weiß,80,3
Rosmarinus officinalis 'Blaulippe',Rosmarin,Lamiaceae,50,100,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,April,4,June,6,not winterhardy,0,0,not toxic,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,blue,blau,blau,75,4
Rudbeckia triloba 'Blackjack Gold',Oktober-Sonnenhut,Asteraceae,100,100,2,small group,3,10,60,2,very sunny,very sunny,4,4,August,8,October,10,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,yellow,gelb,gelb,100,4
Salvia glutinosa,Gelber Wald-Salbei,Lamiaceae,80,100,2,small group,3,10,60,2,mostly shady,very sunny,2,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,blue,blau,gelb,90,3
Stipa calamagrostis ,"Silberährengras, Silber-Raugras",Poaceae,60,100,1,alone - very small group,1,3,70,2,very sunny,very sunny,4,4,June,6,September,9,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,yellow,gelb,gelb,80,4
Symphytum officinale,"Arznei-Beinwell, Comfrey",Boraginaceae,50,100,2,small group,3,10,50,4,mostly sunny,very sunny,3,4,June,6,August,8,winterhardy,2,1,toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,white,weiß,violett,75,4
Valeriana officinalis,Baldrian,Valerianaceae,50,100,1,alone - very small group,1,3,60,2,very sunny,very sunny,4,4,July,7,August,8,winterhardy given some support,1,0,not toxic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,white,weiß,rosa,75,4
Verbascum nigrum 'Album',Weiße Königskerze,Scrophulariaceae,100,100,1,alone - very small group,1,3,50,4,very sunny,very sunny,4,4,July,7,August,8,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,white,weiß,weiß|rot,100,4
Hypericum androsaemum 'Orange Flair',"Johanniskraut, Mannsblut",Clusiaceae,90,90,2,small group,3,10,60,2,very shady,very sunny,1,4,July,7,September,9,winterhardy given some support,1,0,not toxic,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,orange,orange,gelb,90,2
Centaurea scabiosa,Skabiosen-Flockenblume,Asteraceae,30,90,2,small group,3,10,45,4,very sunny,very sunny,4,4,June,6,August,8,winterhardy,2,0,not toxic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,pink,rosa,violett,60,4
Cichorium intybus,"Wegwarte, Zichorie",Asteraceae,60,90,2,small group,3,10,50,4,very sunny,very sunny,4,4,July,7,September,9,winterhardy,2,0,not toxic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,blue,blau,blau,75,4
